experiment_id,ablation_tag,dataset,model,seed,run_label,run_dir,status,started_at,finished_at,sota_method,sota_lambda,alpha_cell,meg_rw_alpha,ndcg@10,recall@10,mrr@10,expdev,tail_ratio,tail_head_ratio,exposure_ratio,ndcg_gap_max_min,ndcg_std,worst_group_ndcg,ndcg_niche,ndcg_semi_niche,ndcg_semi_mainstream,ndcg_mainstream,transfer_l1_shift,transfer_max_abs_shift,fairness_error
lastfm__ngcf__seed2__baseline,,lastfm,ngcf,2,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_2/baseline,success,2026-04-24T10:34:38Z,2026-04-24T10:37:52Z,none,,baseline,0.0,0.1569,0.162,0.2917,0.423787699983,0.0118365180467,0.0124915975801,0.0123235491822,0.194623678288,0.0749383691043,0.0861916324766,0.0861916324766,0.111599908456,0.149396562897,0.280815310764,,,
lastfm__ngcf__seed3__baseline,,lastfm,ngcf,3,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_3/baseline,success,2026-04-24T10:37:55Z,2026-04-24T10:41:03Z,none,,baseline,0.0,0.1652,0.1707,0.3055,0.425884302955,0.0136942675159,0.0143884892086,0.0107634822375,0.208083928438,0.0780230342466,0.0841107417991,0.0841107417991,0.12487957783,0.160537620101,0.292194670237,,,
lastfm__ngcf__seed4__baseline,,lastfm,ngcf,4,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_4/baseline,success,2026-04-24T10:41:06Z,2026-04-24T10:44:18Z,none,,baseline,0.0,0.1552,0.1585,0.2971,0.423150757308,0.0152335456476,0.0160982723805,0.0120035898586,0.184246082683,0.0690269613531,0.0818167939796,0.0818167939796,0.118299699522,0.160771219866,0.266062876663,,,
lastfm__ngcf__seed5__baseline,,lastfm,ngcf,5,baseline,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/ngcf/seed_5/baseline,success,2026-04-24T10:44:21Z,2026-04-24T10:47:35Z,none,,baseline,0.0,0.1625,0.1698,0.3028,0.424663496161,0.0122080679406,0.0128599384959,0.0120212468549,0.204813136726,0.0766007996389,0.080663621967,0.080663621967,0.121878597605,0.163245146791,0.285476758693,,,
lastfm__weighted_bpr__seed0__alpha_0.0,,lastfm,weighted_bpr,0,alpha_0.0,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/weighted_bpr/seed_0/alpha_0.0,success,2026-04-16T17:35:45Z,2026-04-16T17:41:32Z,none,,0.0,0.0,0.1593,0.1694,0.287,0.429918273231,0.00605095541401,0.00630426367306,0.00597246032185,0.208868210214,0.0809854064117,0.079299901709,0.079299901709,0.102839928657,0.165639614126,0.288168111923,0,0,
lastfm__weighted_bpr__seed0__alpha_0.0_beta_0.0,,lastfm,weighted_bpr,0,alpha_0.0_beta_0.0,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/weighted_bpr/seed_0/alpha_0.0_beta_0.0,success,2026-04-17T21:53:47Z,2026-04-17T21:59:23Z,none,,0.0,0.0,0.1593,0.1694,0.287,0.429918273231,0.00605095541401,0.00630426367306,0.00597246032185,0.208868210214,0.0809854064117,0.079299901709,0.079299901709,0.102839928657,0.165639614126,0.288168111923,0,0,
lastfm__weighted_bpr__seed0__alpha_0.0_beta_0.1,,lastfm,weighted_bpr,0,alpha_0.0_beta_0.1,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/weighted_bpr/seed_0/alpha_0.0_beta_0.1,success,2026-04-17T22:17:26Z,2026-04-17T22:23:23Z,none,,0.0,0.0,0.1593,0.1694,0.287,0.429918273231,0.00605095541401,0.00630426367306,0.00597246032185,0.208868210214,0.0809854064117,0.079299901709,0.079299901709,0.102839928657,0.165639614126,0.288168111923,0,0,
lastfm__weighted_bpr__seed0__alpha_0.0_beta_0.3,,lastfm,weighted_bpr,0,alpha_0.0_beta_0.3,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/weighted_bpr/seed_0/alpha_0.0_beta_0.3,success,2026-04-17T22:41:27Z,2026-04-17T22:47:27Z,none,,0.0,0.0,0.1593,0.1694,0.287,0.429918273231,0.00605095541401,0.00630426367306,0.00597246032185,0.208868210214,0.0809854064117,0.079299901709,0.079299901709,0.102839928657,0.165639614126,0.288168111923,0,0,
lastfm__weighted_bpr__seed0__alpha_0.0_beta_0.5,,lastfm,weighted_bpr,0,alpha_0.0_beta_0.5,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/weighted_bpr/seed_0/alpha_0.0_beta_0.5,success,2026-04-17T23:04:57Z,2026-04-17T23:10:49Z,none,,0.0,0.0,0.1593,0.1694,0.287,0.429918273231,0.00605095541401,0.00630426367306,0.00597246032185,0.208868210214,0.0809854064117,0.079299901709,0.079299901709,0.102839928657,0.165639614126,0.288168111923,0,0,
lastfm__weighted_bpr__seed0__alpha_0.1,,lastfm,weighted_bpr,0,alpha_0.1,/home/oqiw47aj/oqiw47aj/CIKM2026/experiments/cikm2026/lastfm/weighted_bpr/seed_0/alpha_0.1,success,2026-04-16T12:11:15Z,2026-04-16T12:14:02Z,none,,0.1,0.1,0.1581,0.1694,0.2828,0.427343963253,0.00562632696391,0.00589347270098,0.00589347270099,0.209682567031,0.0813362810179,0.0788478136486,0.0788478136486,0.101905194791,0.161579088259,0.288530380679,0.0451103685012,0.0193548387097,
